Date,Open,High,Low,Close,Volume,Feature_1,Feature_2,Feature_3,Feature_4,Label,Industry,Industry_ID,Beta
2017-04-19 15:30:00,141.84,141.89,141.8,141.88,265075.0,0.000352634177305,0.00126921449725,0.00127109667396,0.67600326254,1,Information Technology,3,-0.30116691001321594
2017-04-19 15:31:00,141.79,142.0,141.79,141.83,158159.0,0.0007057661091110001,-0.000281968137601,-0.000494071146245,0.548801864528,1,Information Technology,3,-0.30116691001321594
2017-04-19 15:32:00,141.69,141.82,141.61,141.78,102117.0,-0.0006347862886159999,0.000493687848226,0.000564971751413,0.0599867134464,1,Information Technology,3,-0.30116691001321594
2017-04-19 15:33:00,141.78,141.86,141.68,141.71,96338.0,0.0004939665514080001,0.0007057661091110001,0.00035323207347199995,-0.421003918552,-1,Information Technology,3,-0.30116691001321594
2017-04-19 15:34:00,141.71,141.79,141.6,141.78,166388.0,0.000423579244617,-0.000282226769209,-0.00014127286854499999,1.60841210867,1,Information Technology,3,-0.19196611081240766
2017-04-19 15:35:00,141.65,141.69,141.55,141.69,63789.0,-6.91798237749e-05,0.0004941409007480001,0.000353306953081,-0.12101252566500001,1,Information Technology,3,0.2716689862743941
2017-04-19 15:36:00,141.6598,141.73,141.57,141.65,72571.0,6.9184609954e-05,-0.000282286520819,-0.00044496867561800003,0.0007860551066,-1,Information Technology,3,0.4107680010479349
2017-04-19 15:37:00,141.65,141.66,141.52,141.66,72514.0,-0.00021174477696199998,-0.00035273368606699996,-0.000331850596625,-0.09128048322010003,1,Information Technology,3,0.4512182401258172
2017-04-19 15:38:00,141.68,141.7,141.583,141.65,79798.0,-0.000493827160494,-7.05417607223e-05,-0.0004940014114330001,0.501034573568,-1,Information Technology,3,0.4974643032993055
2017-04-19 15:39:00,141.75,141.75,141.63,141.67,53162.0,-7.05417607223e-05,-0.000141063619693,0.00028236622899900003,0.6642248935639999,-1,Information Technology,3,0.3668222896556517
2017-04-19 15:40:00,141.76,141.76,141.7,141.745,31944.0,0.00031048011516000005,0.000141083521445,-0.00014116318464200002,-0.499239704661,-1,Information Technology,3,0.2904085032750227
2017-04-19 15:41:00,141.716,141.78,141.66,141.76,63791.0,-2.82246683601e-05,0.000105823838583,0.0001411831145,0.0118809682434,1,Information Technology,3,0.2896025223831395
2017-04-19 15:42:00,141.72,141.76,141.68,141.7,63042.0,0.00011432297510700001,0.000317572335921,0.000494385196695,0.108742679259,-1,Information Technology,3,0.27394543421670897
2017-04-19 15:43:00,141.7038,141.745,141.66,141.73,56859.0,0.0008037290769119999,0.000141163184641,0.000141272868546,0.158472728755,1,Information Technology,3,0.2919837384253753
2017-04-19 15:44:00,141.59,141.7,141.59,141.7,49081.0,-0.000282426039681,0.0,-0.000261286518322,0.0937270194986,1,Information Technology,3,0.6182251572632951
2017-04-19 15:45:00,141.63,141.68,141.57,141.58,44875.0,-0.000211774671749,-0.000211699950603,-2.11849445662e-05,0.468855356617,-1,Information Technology,3,0.7142830445612197
2017-04-19 15:46:00,141.66,141.68,141.607,141.63,30551.0,-0.000352833251006,-2.18751830282e-05,-0.000211804574979,-0.320726609747,-1,Information Technology,3,0.8302841060103796
2017-04-19 15:47:00,141.71,141.71,141.61,141.66,44976.0,0.00028234629773400005,-4.93931347777e-05,-7.05965407696e-05,-0.34401936904700003,-1,Information Technology,3,0.7938161656905646
2017-04-19 15:48:00,141.67,141.7131,141.64,141.7041,68563.0,-0.000352808354502,-0.000351978556817,-0.000317583542115,0.794279283995,1,Information Technology,3,0.8358183387202067
2017-04-19 15:49:00,141.72,141.7201,141.65,141.6734,38212.0,0.00014114326040900001,0.00014109347442700006,-3.52858151023e-05,-0.328718993746,-1,Information Technology,3,0.8030237533630562
