Date,Open,High,Low,Close,Volume
2017-04-19 15:31:00,2350.43,2350.43,2346.79,2346.79,0.0
2017-04-19 15:32:00,2351.11,2351.43,2350.53,2350.53,0.0
2017-04-19 15:33:00,2351.25,2351.82,2351.07,2351.12,0.0
2017-04-19 15:34:00,2350.79,2351.22,2350.11,2351.22,0.0
2017-04-19 15:35:00,2350.06,2351.13,2350.01,2350.8,0.0
2017-04-19 15:36:00,2349.99,2350.68,2349.88,2350.13,0.0
2017-04-19 15:37:00,2350.12,2350.24,2349.86,2349.97,0.0
2017-04-19 15:38:00,2349.86,2350.16,2349.78,2350.15,0.0
2017-04-19 15:39:00,2349.9,2350.19,2349.79,2349.88,0.0
2017-04-19 15:40:00,2350.13,2350.13,2349.52,2349.94,0.0
2017-04-19 15:41:00,2350.31,2350.32,2349.52,2350.16,0.0
2017-04-19 15:42:00,2349.7,2350.46,2349.62,2350.32,0.0
2017-04-19 15:43:00,2349.62,2350.07,2349.48,2349.91,0.0
2017-04-19 15:44:00,2348.49,2349.63,2348.49,2349.63,0.0
2017-04-19 15:45:00,2348.86,2348.88,2348.46,2348.49,0.0
2017-04-19 15:46:00,2347.98,2348.92,2347.94,2348.92,0.0
2017-04-19 15:47:00,2348.51,2348.51,2347.71,2347.96,0.0
2017-04-19 15:48:00,2348.67,2348.71,2348.12,2348.12,0.0
2017-04-19 15:49:00,2349.21,2349.21,2348.58,2348.66,0.0
2017-04-19 15:50:00,2349.22,2349.64,2349.13,2349.23,0.0
2017-04-19 15:51:00,2350.48,2350.48,2349.24,2349.25,0.0
2017-04-19 15:52:00,2350.32,2350.33,2350.27,2350.32,0.0
2017-04-19 15:53:00,2349.96,2350.33,2349.79,2350.32,0.0
2017-04-19 15:54:00,2350.16,2350.23,2349.98,2349.98,0.0
2017-04-19 15:55:00,2350.91,2351.04,2350.08,2350.2,0.0
2017-04-19 15:56:00,2351.68,2351.89,2350.9,2350.9,0.0
2017-04-19 15:57:00,2352.01,2352.15,2351.9,2351.99,0.0
2017-04-19 15:58:00,2352.04,2352.12,2351.83,2352.0,0.0
2017-04-19 15:59:00,2352.26,2352.35,2352.05,2352.05,0.0
2017-04-19 16:00:00,2352.17,2352.63,2352.14,2352.3,0.0
2017-04-19 16:01:00,2352.01,2352.44,2351.96,2352.3,0.0
2017-04-19 16:02:00,2351.73,2352.04,2351.54,2352.04,0.0
2017-04-19 16:03:00,2351.67,2351.79,2351.55,2351.75,0.0
2017-04-19 16:04:00,2351.48,2351.68,2351.42,2351.68,0.0
2017-04-19 16:05:00,2351.05,2351.43,2350.95,2351.43,0.0
2017-04-19 16:06:00,2350.79,2351.06,2350.66,2351.04,0.0
2017-04-19 16:07:00,2351.08,2351.35,2350.8,2350.8,0.0
2017-04-19 16:08:00,2350.96,2351.08,2350.71,2351.08,0.0
2017-04-19 16:09:00,2351.24,2351.24,2350.59,2350.94,0.0
2017-04-19 16:10:00,2351.15,2351.31,2351.08,2351.28,0.0
2017-04-19 16:11:00,2351.16,2351.25,2350.89,2351.15,0.0
2017-04-19 16:12:00,2351.18,2351.18,2350.89,2351.16,0.0
2017-04-19 16:13:00,2351.31,2351.31,2351.17,2351.19,0.0
2017-04-19 16:14:00,2351.45,2351.45,2351.2,2351.32,0.0
2017-04-19 16:15:00,2350.87,2351.47,2350.55,2351.46,0.0
2017-04-19 16:16:00,2350.53,2350.98,2350.49,2350.86,0.0
2017-04-19 16:17:00,2350.72,2350.78,2350.52,2350.53,0.0
2017-04-19 16:18:00,2350.5,2350.79,2350.38,2350.74,0.0
2017-04-19 16:19:00,2350.53,2350.54,2350.05,2350.46,0.0
2017-04-19 16:20:00,2349.92,2350.57,2349.92,2350.52,0.0
2017-04-19 16:21:00,2349.97,2350.05,2349.87,2349.9,0.0
2017-04-19 16:22:00,2350.05,2350.07,2349.92,2350.07,0.0
2017-04-19 16:23:00,2349.28,2350.08,2349.28,2350.07,0.0
2017-04-19 16:24:00,2349.4,2349.56,2349.29,2349.31,0.0
2017-04-19 16:25:00,2350.05,2350.05,2349.41,2349.41,0.0
2017-04-19 16:26:00,2349.97,2350.3,2349.97,2350.05,0.0
2017-04-19 16:27:00,2350.04,2350.23,2349.92,2349.96,0.0
2017-04-19 16:28:00,2350.01,2350.03,2349.9,2350.03,0.0
2017-04-19 16:29:00,2349.72,2350.06,2349.72,2350.0,0.0
2017-04-19 16:30:00,2349.94,2349.94,2349.69,2349.72,0.0
2017-04-19 16:31:00,2349.51,2350.29,2349.51,2350.04,0.0
2017-04-19 16:32:00,2348.92,2349.77,2348.89,2349.5,0.0
2017-04-19 16:33:00,2348.48,2349.0,2348.33,2348.92,0.0
2017-04-19 16:34:00,2349.19,2349.23,2348.48,2348.48,0.0
2017-04-19 16:35:00,2349.78,2349.88,2349.2,2349.2,0.0
2017-04-19 16:36:00,2349.62,2349.99,2349.62,2349.78,0.0
2017-04-19 16:37:00,2349.83,2349.87,2349.53,2349.61,0.0
2017-04-19 16:38:00,2349.21,2349.77,2349.16,2349.77,0.0
2017-04-19 16:39:00,2349.56,2349.84,2349.21,2349.21,0.0
