Date,Open,High,Low,Close,Volume,Feature_1,Feature_2,Feature_3,Feature_4,Label,Industry,Industry_ID
2017-04-13 15:30:00,36.14,36.14,36.14,36.14,42548.0,0.00166297117517,-0.000277085065115,-0.00055417013023,140.826666667,1,Utilities,5
2017-04-13 15:31:00,36.08,36.08,36.07,36.08,300.0,-0.000277085065115,-0.00276319425256,0.0,0.5,-1,Utilities,5
2017-04-13 15:32:00,36.09,36.09,36.09,36.09,200.0,-0.00193584070796,0.0,-0.000830564784053,-0.987699876999,-1,Utilities,5
2017-04-13 15:33:00,36.16,36.19,36.09,36.109,16260.0,-0.000828958275767,0.0,0.0,1.17962466488,-1,Utilities,5
2017-04-13 15:34:00,36.19,36.19,36.12,36.15,7460.0,0.00166066980349,0.00110650069156,0.00110864745011,0.695454545455,-1,Utilities,5
2017-04-13 15:35:00,36.13,36.19,36.12,36.19,4400.0,0.000276854928018,-0.000552944429085,-0.0016602102933,-0.68660968661,1,Utilities,5
2017-04-13 15:36:00,36.12,36.15,36.08,36.13,14040.0,-0.000829875518672,0.000279314931734,0.000830794793686,0.755438859715,-1,Utilities,5
2017-04-13 15:37:00,36.15,36.17,36.14,36.14,7998.0,0.000553556601162,0.000952235955212,0.000831485587583,-0.192936427851,-1,Utilities,5
2017-04-13 15:38:00,36.13,36.1599,36.11,36.1599,9910.0,0.00110834026046,0.000706371191136,0.000277238702523,0.0669681309216,1,Utilities,5
2017-04-13 15:39:00,36.09,36.1255,36.08,36.1255,9288.0,0.000554477405046,0.000554323725056,0.000332797160131,-0.558324218936,1,Utilities,5
2017-04-13 15:40:00,36.07,36.1,36.07,36.08,21029.0,0.000277315585136,0.000277238702523,-5.54631170272e-05,1.03710161775,1,Utilities,5
2017-04-13 15:41:00,36.06,36.08,36.058,36.07,10323.0,0.0,0.0,0.000554938956715,3.79247910864,0,Utilities,5
2017-04-13 15:42:00,36.06,36.07,36.06,36.07,2154.0,0.000277392510402,0.000693577472604,0.00097208721011,-0.804270786006,1,Utilities,5
2017-04-13 15:43:00,36.05,36.07,36.04,36.06,11005.0,0.000832870627429,0.000416319733555,0.0,3.04149834741,1,Utilities,5
2017-04-13 15:44:00,36.02,36.045,36.005,36.045,2723.0,0.000277700638712,0.000555401277423,0.000973033083125,-0.199117647059,1,Utilities,5
2017-04-13 15:45:00,36.01,36.03,36.005,36.02,3400.0,0.000416724545076,0.000555709919422,0.0,-0.664131186407,1,Utilities,5
2017-04-13 15:46:00,35.995,36.01,35.97,36.0,10123.0,0.00041689827682,-0.000277777777778,0.0,2.21059308595,1,Utilities,5
2017-04-13 15:47:00,35.98,35.99,35.97,35.99,3153.0,0.0,-0.000277700638711,-0.000277932184547,0.0616161616162,1,Utilities,5
2017-04-13 15:48:00,35.98,36.0,35.97,35.97,2970.0,-0.000277854959711,0.000555709919422,0.00055617352614,-0.0969899665552,-1,Utilities,5
